geoid,geoname,year,cvap_est
04000US72,Puerto Rico,2007,2876115.0
04000US44,Rhode Island,2007,759500.0
04000US45,South Carolina,2007,3241215.0
04000US46,South Dakota,2007,591065.0
04000US47,Tennessee,2007,4534360.0
04000US48,Texas,2007,14896395.0
04000US49,Utah,2007,1703980.0
04000US50,Vermont,2007,479715.0
04000US51,Virginia,2007,5498720.0
04000US53,Washington,2007,4533605.0
04000US54,West Virginia,2007,1414320.0
04000US55,Wisconsin,2007,4155115.0
04000US56,Wyoming,2007,389900.0
04000US01,Alabama,2008,3481375.0
04000US02,Alaska,2008,483060.0
04000US04,Arizona,2008,4110890.0
04000US05,Arkansas,2008,2090150.0
04000US06,California,2008,22329320.0
04000US08,Colorado,2008,3403805.0
04000US09,Connecticut,2008,2493095.0
04000US10,Delaware,2008,638160.0
04000US11,District of Columbia,2008,435875.0
04000US12,Florida,2008,12812525.0
04000US13,Georgia,2008,6476090.0
04000US15,Hawaii,2008,941595.0
04000US16,Idaho,2008,1056005.0
04000US17,Illinois,2008,8717365.0
04000US18,Indiana,2008,4649340.0
04000US19,Iowa,2008,2222850.0
04000US20,Kansas,2008,1989385.0
04000US21,Kentucky,2008,3189845.0
04000US22,Louisiana,2008,3241185.0
04000US23,Maine,2008,1029240.0
04000US24,Maryland,2008,3964250.0
04000US25,Massachusetts,2008,4602185.0
04000US26,Michigan,2008,7266065.0
04000US27,Minnesota,2008,3783730.0
04000US28,Mississippi,2008,2146420.0
04000US29,Missouri,2008,4384195.0
04000US30,Montana,2008,742845.0
04000US31,Nebraska,2008,1284815.0
04000US32,Nevada,2008,1701525.0
04000US33,New Hampshire,2008,987480.0
04000US34,New Jersey,2008,5838035.0
04000US35,New Mexico,2008,1383780.0
04000US36,New York,2008,13004815.0
04000US37,North Carolina,2008,6607030.0
04000US38,North Dakota,2008,503755.0
04000US39,Ohio,2008,8547605.0
04000US40,Oklahoma,2008,2647105.0
04000US41,Oregon,2008,2692195.0
04000US42,Pennsylvania,2008,9475230.0
04000US72,Puerto Rico,2008,2754345.0
04000US44,Rhode Island,2008,761675.0
04000US45,South Carolina,2008,3312715.0
04000US46,South Dakota,2008,590645.0
04000US47,Tennessee,2008,4582660.0
04000US48,Texas,2008,15276965.0
04000US49,Utah,2008,1696060.0
04000US50,Vermont,2008,481700.0
04000US51,Virginia,2008,5578950.0
04000US53,Washington,2008,4593030.0
04000US54,West Virginia,2008,1440480.0
04000US55,Wisconsin,2008,4160995.0
04000US56,Wyoming,2008,405100.0
04000US01,Alabama,2009,3514600.0
04000US02,Alaska,2009,493715.0
04000US04,Arizona,2009,4197365.0
04000US05,Arkansas,2009,2108930.0
04000US06,California,2009,22684535.0
04000US08,Colorado,2009,3471375.0
04000US09,Connecticut,2009,2510770.0
04000US10,Delaware,2009,646475.0
04000US11,District of Columbia,2009,444270.0
04000US12,Florida,2009,12998250.0
04000US13,Georgia,2009,6588330.0
04000US15,Hawaii,2009,950710.0
04000US16,Idaho,2009,1072405.0
04000US17,Illinois,2009,8772705.0
04000US18,Indiana,2009,4683715.0
04000US19,Iowa,2009,2236865.0
04000US20,Kansas,2009,2004205.0
04000US21,Kentucky,2009,3215270.0
04000US22,Louisiana,2009,3283855.0
04000US23,Maine,2009,1034115.0
04000US24,Maryland,2009,3999825.0
04000US25,Massachusetts,2009,4645085.0
04000US26,Michigan,2009,7275980.0
04000US27,Minnesota,2009,3817575.0
04000US28,Mississippi,2009,2160090.0
04000US29,Missouri,2009,4415175.0
04000US30,Montana,2009,751240.0
04000US31,Nebraska,2009,1295600.0
04000US32,Nevada,2009,1735710.0
04000US33,New Hampshire,2009,995220.0
04000US34,New Jersey,2009,5876010.0
04000US35,New Mexico,2009,1403030.0
04000US36,New York,2009,13095670.0
04000US37,North Carolina,2009,6723620.0
04000US38,North Dakota,2009,509670.0
04000US39,Ohio,2009,8578455.0
04000US40,Oklahoma,2009,2674560.0
04000US41,Oregon,2009,2727060.0
04000US42,Pennsylvania,2009,9536600.0
04000US72,Puerto Rico,2009,2759510.0
04000US44,Rhode Island,2009,763415.0
04000US45,South Carolina,2009,3367235.0
04000US46,South Dakota,2009,596990.0
04000US47,Tennessee,2009,4636730.0
04000US48,Texas,2009,15583700.0
04000US49,Utah,2009,1733630.0
04000US50,Vermont,2009,485060.0
04000US51,Virginia,2009,5654730.0
04000US53,Washington,2009,4667050.0
04000US54,West Virginia,2009,1446685.0
04000US55,Wisconsin,2009,4189215.0
04000US56,Wyoming,2009,411720.0
04000US01,Alabama,2010,3544660.0
04000US02,Alaska,2010,503360.0
04000US04,Arizona,2010,4285735.0
04000US05,Arkansas,2010,2126800.0
04000US06,California,2010,23072670.0
04000US08,Colorado,2010,3541580.0
04000US09,Connecticut,2010,2529370.0
04000US10,Delaware,2010,655780.0
04000US11,District of Columbia,2010,454205.0
04000US12,Florida,2010,13207185.0
04000US13,Georgia,2010,6693990.0
04000US15,Hawaii,2010,962795.0
04000US16,Idaho,2010,1087265.0
04000US17,Illinois,2010,8826635.0
04000US18,Indiana,2010,4712810.0
04000US19,Iowa,2010,2249700.0
04000US20,Kansas,2010,2019955.0
04000US21,Kentucky,2010,3238365.0
04000US22,Louisiana,2010,3323625.0
04000US23,Maine,2010,1038190.0
04000US24,Maryland,2010,4045435.0
04000US25,Massachusetts,2010,4698980.0
04000US26,Michigan,2010,7293125.0
04000US27,Minnesota,2010,3850635.0
04000US28,Mississippi,2010,2174110.0
04000US29,Missouri,2010,4445705.0
04000US30,Montana,2010,759475.0
04000US31,Nebraska,2010,1305335.0
04000US32,Nevada,2010,1764035.0
04000US33,New Hampshire,2010,1001685.0
04000US34,New Jersey,2010,5918655.0
04000US35,New Mexico,2010,1420960.0
04000US36,New York,2010,13204950.0
04000US37,North Carolina,2010,6826610.0
04000US38,North Dakota,2010,517100.0
04000US39,Ohio,2010,8613175.0
04000US40,Oklahoma,2010,2699980.0
04000US41,Oregon,2010,2763610.0
04000US42,Pennsylvania,2010,9590430.0
04000US72,Puerto Rico,2010,2760265.0
04000US44,Rhode Island,2010,766305.0
04000US45,South Carolina,2010,3417900.0
04000US46,South Dakota,2010,602610.0
04000US47,Tennessee,2010,4689695.0
04000US48,Texas,2010,15891110.0
04000US49,Utah,2010,1765345.0
04000US50,Vermont,2010,487805.0
04000US51,Virginia,2010,5732825.0
04000US53,Washington,2010,4737815.0
04000US54,West Virginia,2010,1451005.0
04000US55,Wisconsin,2010,4215825.0
04000US56,Wyoming,2010,417625.0
04000US01,Alabama,2011,3573935.0
04000US02,Alaska,2011,511675.0
04000US04,Arizona,2011,4363640.0
04000US05,Arkansas,2011,2140755.0
04000US06,California,2011,23460930.0
04000US08,Colorado,2011,3610875.0
04000US09,Connecticut,2011,2548580.0
04000US10,Delaware,2011,664535.0
04000US11,District of Columbia,2011,466325.0
04000US12,Florida,2011,13425465.0
04000US13,Georgia,2011,6785385.0
04000US15,Hawaii,2011,975455.0
04000US16,Idaho,2011,1102735.0
04000US17,Illinois,2011,8883985.0
04000US18,Indiana,2011,4741155.0
04000US19,Iowa,2011,2262520.0
04000US20,Kansas,2011,2030850.0
04000US21,Kentucky,2011,3259580.0
04000US22,Louisiana,2011,3356160.0
04000US23,Maine,2011,1041475.0
04000US24,Maryland,2011,4094715.0
04000US25,Massachusetts,2011,4748170.0
04000US26,Michigan,2011,7315785.0
04000US27,Minnesota,2011,3884870.0
04000US28,Mississippi,2011,2188485.0
04000US29,Missouri,2011,4476580.0
04000US30,Montana,2011,766855.0
04000US31,Nebraska,2011,1314620.0
04000US32,Nevada,2011,1797220.0
04000US33,New Hampshire,2011,1006990.0
04000US34,New Jersey,2011,5957090.0
04000US35,New Mexico,2011,1434950.0
04000US36,New York,2011,13313630.0
04000US37,North Carolina,2011,6923095.0
04000US38,North Dakota,2011,525675.0
04000US39,Ohio,2011,8648435.0
04000US40,Oklahoma,2011,2725750.0
04000US41,Oregon,2011,2796640.0
04000US42,Pennsylvania,2011,9639840.0
04000US72,Puerto Rico,2011,2757100.0
04000US44,Rhode Island,2011,769265.0
04000US45,South Carolina,2011,3467545.0
04000US46,South Dakota,2011,608885.0
04000US47,Tennessee,2011,4739585.0
04000US48,Texas,2011,16200040.0
04000US49,Utah,2011,1801290.0
04000US50,Vermont,2011,489825.0
04000US51,Virginia,2011,5810100.0
04000US53,Washington,2011,4801195.0
04000US54,West Virginia,2011,1455850.0
04000US55,Wisconsin,2011,4244795.0
04000US56,Wyoming,2011,423175.0
04000US01,Alabama,2012,3600135.0
04000US02,Alaska,2012,519015.0
04000US04,Arizona,2012,4444235.0
04000US05,Arkansas,2012,2152345.0
04000US06,California,2012,23881290.0
04000US08,Colorado,2012,3679120.0
04000US09,Connecticut,2012,2564235.0
04000US10,Delaware,2012,674335.0
04000US11,District of Columbia,2012,475400.0
04000US12,Florida,2012,13673535.0
04000US13,Georgia,2012,6882880.0
04000US15,Hawaii,2012,989250.0
04000US16,Idaho,2012,1116710.0
04000US17,Illinois,2012,8939895.0
04000US18,Indiana,2012,4773225.0
04000US19,Iowa,2012,2273765.0
04000US20,Kansas,2012,2043785.0
04000US21,Kentucky,2012,3281580.0
04000US22,Louisiana,2012,3385550.0
04000US23,Maine,2012,1044335.0
04000US24,Maryland,2012,4142450.0
04000US25,Massachusetts,2012,4799875.0
04000US26,Michigan,2012,7347660.0
04000US27,Minnesota,2012,3920515.0
04000US28,Mississippi,2012,2201530.0
04000US29,Missouri,2012,4503000.0
04000US30,Montana,2012,774020.0
04000US31,Nebraska,2012,1324465.0
04000US32,Nevada,2012,1830240.0
04000US33,New Hampshire,2012,1013650.0
04000US34,New Jersey,2012,6002840.0
04000US35,New Mexico,2012,1448020.0
04000US36,New York,2012,13425020.0
04000US37,North Carolina,2012,7015220.0
04000US38,North Dakota,2012,535555.0
04000US39,Ohio,2012,8678485.0
04000US40,Oklahoma,2012,2749195.0
04000US41,Oregon,2012,2830525.0
04000US42,Pennsylvania,2012,9676900.0
04000US72,Puerto Rico,2012,2747210.0
04000US44,Rhode Island,2012,773775.0
04000US45,South Carolina,2012,3515425.0
04000US46,South Dakota,2012,616015.0
04000US47,Tennessee,2012,4785580.0
04000US48,Texas,2012,16529535.0
04000US49,Utah,2012,1831260.0
04000US50,Vermont,2012,491550.0
04000US51,Virginia,2012,5877485.0
04000US53,Washington,2012,4866910.0
04000US54,West Virginia,2012,1456965.0
04000US55,Wisconsin,2012,4269770.0
04000US56,Wyoming,2012,427300.0
04000US01,Alabama,2013,3620995.0
04000US02,Alaska,2013,523945.0
04000US04,Arizona,2013,4526595.0
04000US05,Arkansas,2013,2164085.0
04000US06,California,2013,24280350.0
04000US08,Colorado,2013,3750955.0
04000US09,Connecticut,2013,2574180.0
04000US10,Delaware,2013,681605.0
04000US11,District of Columbia,2013,485115.0
04000US12,Florida,2013,13933050.0
04000US13,Georgia,2013,6978660.0
04000US15,Hawaii,2013,1001730.0
04000US16,Idaho,2013,1130550.0
04000US17,Illinois,2013,8980000.0
04000US18,Indiana,2013,4801115.0
04000US19,Iowa,2013,2285125.0
04000US20,Kansas,2013,2053920.0
04000US21,Kentucky,2013,3297110.0
04000US22,Louisiana,2013,3410635.0
04000US23,Maine,2013,1048275.0
04000US24,Maryland,2013,4182240.0
04000US25,Massachusetts,2013,4850600.0
04000US26,Michigan,2013,7380135.0
04000US27,Minnesota,2013,3950805.0
04000US28,Mississippi,2013,2210425.0
04000US29,Missouri,2013,4525035.0
04000US30,Montana,2013,781250.0
04000US31,Nebraska,2013,1333860.0
04000US32,Nevada,2013,1863800.0
04000US33,New Hampshire,2013,1020130.0
04000US34,New Jersey,2013,6053895.0
04000US35,New Mexico,2013,1457630.0
04000US36,New York,2013,13531405.0
04000US37,North Carolina,2013,7108000.0
04000US38,North Dakota,2013,546485.0
04000US39,Ohio,2013,8709050.0
04000US40,Oklahoma,2013,2768560.0
04000US41,Oregon,2013,2867670.0
04000US42,Pennsylvania,2013,9710415.0
04000US72,Puerto Rico,2013,2726225.0
04000US44,Rhode Island,2013,776565.0
04000US45,South Carolina,2013,3566510.0
04000US46,South Dakota,2013,621770.0
04000US47,Tennessee,2013,4828365.0
04000US48,Texas,2013,16864960.0
04000US49,Utah,2013,1868010.0
04000US50,Vermont,2013,493125.0
04000US51,Virginia,2013,5948625.0
04000US53,Washington,2013,4937210.0
04000US54,West Virginia,2013,1455850.0
04000US55,Wisconsin,2013,4294320.0
04000US56,Wyoming,2013,430025.0
04000US01,Alabama,2014,3639495.0
04000US02,Alaska,2014,527810.0
04000US04,Arizona,2014,4613575.0
04000US05,Arkansas,2014,2175340.0
04000US06,California,2014,24582605.0
04000US08,Colorado,2014,3824440.0
04000US09,Connecticut,2014,2582885.0
04000US10,Delaware,2014,689655.0
04000US11,District of Columbia,2014,494090.0
04000US12,Florida,2014,14195895.0
04000US13,Georgia,2014,7063805.0
04000US15,Hawaii,2014,1006725.0
04000US16,Idaho,2014,1148895.0
04000US17,Illinois,2014,9003480.0
04000US18,Indiana,2014,4824555.0
04000US19,Iowa,2014,2295040.0
04000US20,Kansas,2014,2061775.0
04000US21,Kentucky,2014,3313800.0
04000US22,Louisiana,2014,3432035.0
04000US23,Maine,2014,1051865.0
04000US24,Maryland,2014,4212265.0
04000US25,Massachusetts,2014,4887325.0
04000US26,Michigan,2014,7408625.0
04000US27,Minnesota,2014,3980475.0
04000US28,Mississippi,2014,2217765.0
04000US29,Missouri,2014,4547880.0
04000US30,Montana,2014,789500.0
04000US31,Nebraska,2014,1341015.0
04000US32,Nevada,2014,1902280.0
04000US33,New Hampshire,2014,1027630.0
04000US34,New Jersey,2014,6087275.0
04000US35,New Mexico,2014,1464240.0
04000US36,New York,2014,13605855.0
04000US37,North Carolina,2014,7203790.0
04000US38,North Dakota,2014,555690.0
04000US39,Ohio,2014,8734125.0
04000US40,Oklahoma,2014,2787655.0
04000US41,Oregon,2014,2911330.0
04000US42,Pennsylvania,2014,9725845.0
04000US72,Puerto Rico,2014,2712070.0
04000US44,Rhode Island,2014,780250.0
04000US45,South Carolina,2014,3620830.0
04000US46,South Dakota,2014,627070.0
04000US47,Tennessee,2014,4876605.0
04000US48,Texas,2014,17177625.0
04000US49,Utah,2014,1903495.0
04000US50,Vermont,2014,493535.0
04000US51,Virginia,2014,5998905.0
04000US53,Washington,2014,5008035.0
04000US54,West Virginia,2014,1453210.0
04000US55,Wisconsin,2014,4313305.0
04000US56,Wyoming,2014,432375.0
04000US01,Alabama,2015,3651915.0
04000US02,Alaska,2015,530555.0
04000US04,Arizona,2015,4690175.0
04000US05,Arkansas,2015,2183895.0
04000US06,California,2015,24970110.0
04000US08,Colorado,2015,3893360.0
04000US09,Connecticut,2015,2599795.0
04000US10,Delaware,2015,697330.0
04000US11,District of Columbia,2015,503110.0
04000US12,Florida,2015,14461395.0
04000US13,Georgia,2015,7155975.0
04000US15,Hawaii,2015,1016470.0
04000US16,Idaho,2015,1168165.0
04000US17,Illinois,2015,9043520.0
04000US18,Indiana,2015,4850325.0
04000US19,Iowa,2015,2302495.0
04000US20,Kansas,2015,2069335.0
04000US21,Kentucky,2015,3325140.0
04000US22,Louisiana,2015,3447640.0
04000US23,Maine,2015,1055130.0
04000US24,Maryland,2015,4248700.0
04000US25,Massachusetts,2015,4931670.0
04000US26,Michigan,2015,7435280.0
04000US27,Minnesota,2015,4010715.0
04000US28,Mississippi,2015,2220810.0
04000US29,Missouri,2015,4567240.0
04000US30,Montana,2015,794085.0
04000US31,Nebraska,2015,1350095.0
04000US32,Nevada,2015,1943710.0
04000US33,New Hampshire,2015,1034685.0
04000US34,New Jersey,2015,6142330.0
04000US35,New Mexico,2015,1471670.0
04000US36,New York,2015,13741920.0
04000US37,North Carolina,2015,7309765.0
04000US38,North Dakota,2015,560530.0
04000US39,Ohio,2015,8761635.0
04000US40,Oklahoma,2015,2802585.0
04000US41,Oregon,2015,2948765.0
04000US42,Pennsylvania,2015,9740190.0
04000US72,Puerto Rico,2015,2690455.0
04000US44,Rhode Island,2015,784490.0
04000US45,South Carolina,2015,3673580.0
04000US46,South Dakota,2015,629705.0
04000US47,Tennessee,2015,4916860.0
04000US48,Texas,2015,17512735.0
04000US49,Utah,2015,1942340.0
04000US50,Vermont,2015,493440.0
04000US51,Virginia,2015,6051620.0
04000US53,Washington,2015,5081380.0
04000US54,West Virginia,2015,1446500.0
04000US55,Wisconsin,2015,4328520.0
04000US56,Wyoming,2015,432815.0
04000US01,Alabama,2016,3671110.0
04000US02,Alaska,2016,530385.0
04000US04,Arizona,2016,4812765.0
04000US05,Arkansas,2016,2195870.0
04000US06,California,2016,25232635.0
04000US08,Colorado,2016,3979325.0
04000US09,Connecticut,2016,2600980.0
04000US10,Delaware,2016,704110.0
04000US11,District of Columbia,2016,511190.0
04000US12,Florida,2016,14724115.0
04000US13,Georgia,2016,7254695.0
04000US15,Hawaii,2016,1016555.0
04000US16,Idaho,2016,1192740.0
04000US17,Illinois,2016,9055185.0
04000US18,Indiana,2016,4876220.0
04000US19,Iowa,2016,2312665.0
04000US20,Kansas,2016,2077565.0
04000US21,Kentucky,2016,3338200.0
04000US22,Louisiana,2016,3452765.0
04000US23,Maine,2016,1059540.0
04000US24,Maryland,2016,4262390.0
04000US25,Massachusetts,2016,4964685.0
04000US26,Michigan,2016,7472670.0
04000US27,Minnesota,2016,4037295.0
04000US28,Mississippi,2016,2228660.0
04000US29,Missouri,2016,4585995.0
04000US30,Montana,2016,804265.0
04000US31,Nebraska,2016,1358785.0
04000US32,Nevada,2016,1973650.0
04000US33,New Hampshire,2016,1048200.0
04000US34,New Jersey,2016,6117615.0
04000US35,New Mexico,2016,1485490.0
04000US36,New York,2016,13686685.0
04000US37,North Carolina,2016,7413180.0
04000US38,North Dakota,2016,562630.0
04000US39,Ohio,2016,8797915.0
04000US40,Oklahoma,2016,2819170.0
04000US41,Oregon,2016,3002260.0
04000US42,Pennsylvania,2016,9748290.0
04000US72,Puerto Rico,2016,2653585.0
04000US44,Rhode Island,2016,789060.0
